,health
0,"Basic medical care is available in major Afghan cities but is limited in rural areas. Facilities vary in quality and range of services and are generally below U.S. standards. Doctors and hospitals often require cash prepayment for services. Ambulances are few, lack medical equipment, and are not necessarily staffed by medical personnel. Western-style private clinics can be found in Kabul offering a variety of basic emergency and routine preventative-type care, but their hours are limited, and such facilities may not be suitable for complex trauma cases or severe medical emergencies. Individuals without licenses or medical degrees operate private clinics, and there is no public agency that monitors their operations. A list of Medical Clinics in Afghanistan is available on the U.S. Embassy’s website. Travelers are strongly urged to obtain sufficient supplies of prescription and commonly used over-the-counter medications prior to arrival. Many U.S.-brand medications are not available in Afghanistan. Travelers should be alert that many pharmaceuticals found in Afghanistan are counterfeits, and the quality of locally produced medications is uneven. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Insurance: Make sure your health insurance plan will cover you outside of the United States, and specifically covers care when you are in Afghanistan, as many insurance companies consider the country to be an active warzone and specifically exclude coverage for individuals residing or traveling here. Please also note that U.S. Medicare does not pay overseas. U.S. citizens are strongly recommended to obtain supplemental medical evacuation insurance as medical transport out of Afghanistan can be prohibitively expensive. When selecting medical evacuation provider, be sure to confirm that the company offers such services in Afghanistan and obtain a list of clinics and hospitals that may be used as a medical evacuation point. Please note that the U.S. Embassy cannot pay your medical bills. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC)"
1,"Please visit the Embassy's COVID-19 page for more information on entry/exit requirements related to COVID-19 in Albania. For emergency services in Albania, dial 112 for an ambulance. Dial 127 or 128 for the Fire Department. Not all operators have English, or may have limited ability in English, but will attempt to connect you with an English-speaking responder when possible. Ambulance services are not widely available and the training and availability of emergency responders may be below U.S. standards. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas.  Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments.  See our webpage for more information on insurance providers for overseas coverage . Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend you obtain supplemental insurance to cover medical evacuation. Always carry your prescription medication in original packaging, along with your doctor’s prescription. Albanian law prohibits the import and export of narcotic medications and psychotropic substances. For more information, visit the General Directorate of Customs website . The U.S. Embassy maintains a list of doctors and hospitals here . We do not endorse or recommend any specific medical provider or clinic. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention for visitors to Albania. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: Air quality varies throughout Albania. Pollution can be a problem particularly in Tirana, and during certain times of year – such as winter, when wood or coal may be burned for heat. Health facilities in general: Adequate health facilities are available in Tirana and other cities but health care in rural areas may be below U.S. standards. Public medical clinics lack many basic resources and supplies. Hospitals and doctors often require payment “up front” prior to service or admission. Credit card payment is not always accepted. Private hospitals usually require advance payment or proof of adequate insurance before admitting a patient. Medical staff may not speak English. Generally, public hospitals are minimally staff overnight in non-emergency wards. Consider hiring a private nurse or having family spend the night with the patient, especially a minor child. Patients bear all costs for transfer to or between hospitals. Psychological and psychiatric services are limited, even in cities, with hospital-based care only available through government institutions Pharmaceuticals: Exercise caution when purchasing medication overseas In Albania, while many medicines are available without a prescription, certain pharmaceuticals may require a prescription from a physician and are sold only at specialized pharmacies. Some medications may not be available locally. Medication should be purchased in consultation with a medical professional and from reputable establishments recommended by a physician. U.S. Customs and Border Protection and the Food and Drug Administration are responsible for rules governing the transport of medication back to the United States. Medication purchased abroad must meet their requirements to be legally brought back into the United States. Medication should be for personal use and must be approved for usage in the United States. Please visit the U.S. Customs and Border Protection and the Food and Drug Administration websites for more information. Assisted Reproductive Technology and Surrogacy: If you are considering traveling to Albania to have a child through use of assisted reproductive technology (ART) or surrogacy, please see our ART and Surrogacy Abroad page . Water Quality: Tap water is not potable. Bottled water and beverages are safe, although many restaurants and hotels may serve tap water unless bottled water is specifically requested. Be aware that ice for drinks may be made using tap water. Adventure Travel: Visit the U.S. Centers for Disease Control and Prevention website for more information about Adventure Travel . General Health Language: The following diseases are prevalent: https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania"
2,"For emergency services in Algeria, dial 021711414. Ambulance services are available in major cities such as the capital city of Algiers, but training and availability of emergency responders varies and may be below U.S. standards. Ambulance services are also not equipped with state-of-the-art medical equipment.  Response times are unpredictable and not as rapid as in the U.S. Injured or seriously ill travelers may prefer to take a taxi or private vehicle to the nearest major hospital rather than wait for an ambulance. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas.  Most hospitals and doctors overseas do not accept U.S. health insurance.  Credit card payment is not usually available. Most hospitals and medical professionals require cash payment at time of services rendered. Medical Insurance: Make sure your health insurance plan provides coverage overseas.  Most care providers overseas only accept cash payments.  See our webpage for more information on insurance providers for overseas coverage.  Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Always carry your prescription medication in original packaging, along with your doctor’s prescription. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates.  The air quality varies considerably and fluctuates with the seasons.  It is typically at its worst in the summer. People at the greatest risk from particle pollution exposure include: Infants, children, and teens People over 65 years of age People with lung disease such as asthma and chronic obstructive pulmonary disease (COPD), which includes chronic bronchitis and emphysema. People with heart disease or diabetes People who work or are active outdoors The U.S. Embassy maintains a list of doctors and hospitals .  We do not endorse or recommend any specific medical provider or clinic. Health facilities: Adequate health facilities are available in Algiers and other major cities, but quality is variable. Health care in rural areas may be below U.S. standards. Medical staff may speak little or no English. Generally, in hospitals only minimal staff is available overnight in non-emergency wards. Consider hiring a private nurse or having family spend the night with the patient, especially a minor child. Psychological and psychiatric services are limited, even in the larger cities, with hospital-based care primarily available through government institutions Pharmaceuticals: Always carry your prescription medication in original packaging, along with your doctor’s prescription.  Check with the Algerian Ministry of Health [COUNTRY Federal Office of Public Health w/ link] to ensure the medication is legal in Algeria. Exercise caution when purchasing medication overseas.  Medication should be purchased in consultation with a medical professional and from reputable establishments. Assisted Reproductive Technology and Surrogacy: If you are considering traveling to Algeria to have a child through use of assisted reproductive technology (ART) or surrogacy, please see our ART and Surrogacy Abroad page . Surrogacy is illegal for foreigners in Algeria. Water Quality: In many areas, tap water is not potable. Bottled water and beverages are generally safe, although you should be aware that many restaurants and hotels serve tap water unless bottled water is specifically requested.  Be aware that ice for drinks may be made using tap water. Adventure Travel: Visit the U.S. Centers for Disease Control and Prevention website for more information about Adventure Travel ."
3,"Please visit the Embassy's COVID-19 page for more information on COVID-19 in Andorra. Good medical care is available in Andorra. Regulations regarding medications may vary from those in the United States, however. Andorra relies on the Spanish and French postal systems. As Spanish and French regulations do not permit the international shipment of medication, please do not ship medication from the United States to Andorra as the package will transit through Spain or France and likely be intercepted. U.S. citizens who plan a lengthy trip to Andorra should bring their own medication or obtain a prescription for that medication from a local physician. The U.S. Consulate General maintains a list of doctors and hospitals . We do not endorse or recommend any specific medical provider or clinic. For emergency services in Andorra dial 112 . Ambulance services are widely available. The U.S. government does not pay medical bills for private U.S. citizens. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Always carry your prescription medication in original packaging, along with your doctor’s prescription. Check with the Andorra’s Health Department to ensure the medication is legal in Andorra. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. Health facilities in general Adequate health facilities are available in Andorra La Vella but health care in rural areas may be below U.S. standards. Hospitals usually require advance payment or proof of adequate insurance before admitting a patient. Medical staff may speak little or no English. Medical Tourism and Elective Surgery Medical tourism is a rapidly growing industry. People seeking health care overseas should understand that medical systems operate differently from those in the United States and are not subject to the same rules and regulations. Anyone interested in traveling for medical purposes should consult with their local physician before traveling and visit the U.S. Centers for Disease Control and Prevention website for more information on Medical Tourism. We strongly recommend supplemental insurance to cover medical evacuation in the event of unforeseen medical complications. Pharmaceuticals Exercise caution when purchasing medication overseas. Pharmaceuticals, both over the counter and requiring prescription in the United States, may be readily available for purchase with little controls. Counterfeit medication is common and may prove to be ineffective, the wrong strength, or contain dangerous ingredients. Medication should be purchased in consultation with a medical professional and from reputable establishments. U.S. Customs and Border Protection and the Food and Drug Administration are responsible for rules governing the transport of medication back to the United States. Medication purchased abroad must meet their requirements to be legally brought back into the United States. Medication should be for personal use and must be approved for usage in the United States. Please visit the U.S. Customs and Border Protection and the Food and Drug Administration websites for more information. Assisted Reproductive Technology and Surrogacy If you are considering traveling to Andorra to have a child through use of assisted reproductive technology (ART), please see our ART and Surrogacy Abroad page . Surrogacy is illegal in Andorra and subject to complex local regulation. Adventure Travel Andorra is a skiing and mountain climbing destination and offers adventure travel activities (See: https://visitandorra.com/es/naturaleza/naturaleza-de-aventura/ ). These meet WTO guidelines, and Andorra does not report major incidents in adventure travel activities. Visit the U.S. Centers for Disease Control and Prevention website for more information about Adventure Travel ."
4,"Medical facilities and services, including emergency care, are severely limited outside of Luanda and do not meet U.S. standards. In the capital, some private clinics offer modern medical equipment, internationally trained staff, and 24-hour emergency services including ambulances, but quality and consistency of medical care varies greatly. These clinics typically require pre-payment before admission and do not accept international credit cards or private medical insurance. We do not pay medical bills. Be aware that U.S. Medicare does not apply overseas and U.S. embassies and consulates do not cover medical bills. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most medical providers in Angola only accept cash payments and require pre-payment for service. See our webpage for more information on insurance providers for overseas coverage . We strongly recommend supplemental insurance to cover air medical evacuation. Always carry prescription medication in original packaging with your doctor’s prescription. Bring preventative and over-the-counter medicines. Check with the Embassy of Angola to verify your medications are legal before you travel. Consult the CDC website for Angola prior to travel. The following diseases are prevalent: Dengue fever Malaria Y ellow fever Other considerations are rabies, typhoid fever, traveler’s diarrhea, Chikugunya, Zika, marine hazards, Tuberculosis, Schistosomiasis, and Hepatitis C. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Vaccinations against yellow fever are required. Further health information: World Health Organization (WHO) U.S. Centers for Disease Control and Prevention (CDC)"
5,"Medical facilities in Anguilla do not meet U.S. standards. The U.S. government does not pay medical bills for overseas travelers. Be aware that U.S. Medicare and Medicaid programs do not apply overseas. Doctors and hospitals will expect immediate cash payment for health services. Medical Insurance: Make sure your health insurance plan provides coverage overseas. We strongly recommend supplemental insurance to cover medical evacuation. See our webpage for more information on insurance providers for overseas coverage . If traveling with prescription medication, check with the government of Anguilla to ensure the medication is legal in Anguilla. Always carry your prescription medication in original packaging with your doctor’s prescription. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC)"
6,"Antarctica has no public hospitals, pharmacies, or doctor’s offices.  Although cruise ships and land-based expeditions should have the capacity to treat minor ailments, medical emergencies often require evacuation to a country with modern medical facilities, which could require travel over a significant distance.  There is no guarantee that transportation would be available or that weather conditions would allow for transportation, even in an emergency. Search and rescue resources in Antarctica are extremely limited.   Cost of search and rescue efforts are borne by the person/s in need of the assistance.  Travelers should obtain comprehensive travel, medical, and medical evacuation insurance prior to departure; see our webpage for more information on insurance providers for overseas coverage . There are no public utilities, such as phone or Internet service providers, in the Region. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas.  Most care providers overseas only accept cash payments.  See our webpage for more information on insurance providers for overseas coverage.  Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Always carry your prescription medication in original packaging, along with your doctor’s prescription. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates Visit the U.S. Centers for Disease Control and Prevention website for more information about Adventure Travel ."
7,"Medical facilities in Antigua and Barbuda do not meet U.S. standards. There is no hyperbaric chamber, and divers requiring treatment for decompression illness must be evacuated from the island. We do not pay medical bills. Be aware that U.S. Medicare and Medicaid programs do not apply overseas. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. We strongly recommend supplemental insurance to cover medical evacuation. If traveling with prescription medication, check with the government of Antigua and Barbuda to ensure the medication is legal in Antigua and Barbuda. Always carry your prescription medication in original packaging with your doctor’s prescription. The following diseases are present: Chikungunya Dengue Zika Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC)"
8,"We do not pay medical bills. Be aware that U.S. Medicare does not apply overseas. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage . We strongly recommend supplemental insurance to cover medical evacuation. Medical evacuation is extremely costly. Medications: If traveling with prescription medication, check with the Argentine Ministry of Health to ensure the medication is legal in Argentina.  Always, carry your prescription medication in original packaging with your doctor’s prescription. Health Concerns: The following diseases are prevelant either throughout Argentina or in certain areas: Hepatitis A Yellow Fever Dengue Typhoid Rabies Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention and CDC recommendations for travel to Argentina . Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC)"
9,"Outside major cities, medical facilities in Armenia are limited. The U.S. Embassy maintains a list of English-speaking doctors. Elderly travelers and those with existing health problems may be at risk from inadequate medical facilities . For emergency services in Armenia, dial 911. Visit the U.S. Centers for Disease Control and Prevention website for more information about Resources for Travelers regarding specific issues in Armenia. The risk of diarrheal disease is high throughout Armenia. Food and water precautions are recommended. Additionally, cases of brucellosis from consuming unpasteurized dairy products have been reported. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas . Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: The air quality varies considerably and fluctuates with the seasons in Armenia. It is typically at its worst in the winter, with smog and particulate pollution in or near cities. Consider the impact air pollution may have on you and consult your doctor before traveling if necessary. Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. Health facilities in general Ambulance services are widely available, but training and availability of emergency responders may be below U.S. standards. Adequate health facilities are available in Yerevan and other major cities, but health care in rural areas may be below U.S. standards. Medical staff may speak little or no English. Medical emergency services at Armenian airports are not on par with U.S. airports. Psychological and psychiatric services are limited, even in the larger cities, with hospital-based care only available through government institutions Pharmaceuticals Always carry your prescription medication in original packaging, along with your doctor’s prescription. Check with the Armenia Ministry of Health or The National Institute of Health to ensure the medication is legal in Armenia. U.S. Customs and Border Protection and the Food and Drug Administration are responsible for rules governing the transport of medication back to the United States. Medication purchased abroad must meet their requirements to be legally brought back into the United States. Medication should be for personal use and must be approved for usage in the United States. Please visit the U.S. Customs and Border Protection and the Food and Drug Administration websites for more information. Assisted Reproductive Technology and Surrogacy If you are considering traveling to Armenia to have a child through use of assisted reproductive technology (ART) or surrogacy, please see our ART and Surrogacy Abroad page . Surrogacy is legal for foreigners in Armenia. For additional information visit the website of Armenia’s Ministry of Health . Adventure Travel Visit the U.S. Centers for Disease Control and Prevention website for more information about Adventure Travel ."
10,"Access to quality medical care is limited in Aruba, and facilities may not offer the health and service standards typically expected in the United States. There is no decompression chamber in Aruba. Persons suffering from decompression sickness must be medically evacuated for proper treatment. Ambulance services are widely available. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. A list of medical facilities in Aruba is available on our Consulate website. We do not endorse or recommend any specific medical provider or clinic. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage.  Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Critically ill patients requiring services unavailable in Aruba are transferred to neighboring countries, such as Colombia, at the patient’s expense. If medical evacuation is authorized by the patient’s insurance carrier or funded privately (approximately $15,000 – 25,000), patients can be transferred to the United States. Medicines: If traveling with prescription medication, check with the government of Aruba to ensure the medication is legal in Aruba. Always carry your prescription medication in original packaging with your doctor’s prescription. The variety of drugs available locally is smaller than in the U.S., and you may not be able to find all of your medications in Aruba. For most medicines, you will need a local prescription. To find out which pharmacy is available after hours, you can visit pharmacy on duty in Aruba . Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. The following diseases are prevalent: Zika Virus Dengue Chikungunya Use the U.S. Centers for Disease Control and Prevention recommended mosquito repellents and sleep under insecticide-impregnated mosquito nets. Chemoprophylaxis is recommended for all travelers even for short stays. Visit the U.S. Centers for Disease Control and Prevention website for more information about Resources for Travelers regarding specific issues in Aruba. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates."
11,"For emergency services in Australia, dial 000. Ambulance services are widely available. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Excellent medical care is available in Australia. Doctors and hospitals often expect immediate cash payment for health services. Serious medical problems requiring hospitalization and/or medical evacuation to the United States can cost hundreds of thousands of dollars. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. Prescriptions: If traveling with prescription medication, check with the government of Australia to ensure the medication is legal in Australia . Always, carry your prescription medication in original packaging with your doctor’s prescription Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. The U.S. Embassy maintains a list of hospitals and a link to the Australian National Health Services Directory at Medical Assistance - U.S. Embassy & Consulates in Australia (usembassy.gov) . We do not endorse or recommend any specific medical provider or clinic. Medical Tourism and Elective Surgery Visit the U.S. Centers for Disease Control and Prevention website for information on Medical Tourism, the risks of medical tourism, and what you can do to prepare before traveling to Australia. Pharmaceuticals: U.S. Customs and Border Protection and the Food and Drug Administration are responsible for rules governing the transport of medication back to the United States. Medication purchased abroad must meet their requirements to be legally brought back into the United States. Medication should be for personal use and must be approved for usage in the United States. Please visit the U.S. Customs and Border Protection and the Food and Drug Administration websites for more information. Adventure Travel Visit the U.S. Centers for Disease Control and Prevention website for more information about Adventure Travel . Air Quality Air pollution is a significant problem during certain months in Australia due to bush fires. Consider the impact seasonal bush fire season pollution may have on your health and consult your doctor before traveling. The air quality varies considerably and changes with the season. It is typically at its worst in the bush fire season. People at the greatest risk from particle pollution exposure include: Infants, children, and teens People over 65 years of age People with lung disease such as asthma and chronic obstructive pulmonary disease (COPD), which includes chronic bronchitis and emphysema; People with heart disease or diabetes People who work or are active outdoors"
